driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Sergio Pérez,CHN,9.0,,,,10.0,0.43478260869565216,2.085144140570747,,5,2017
 Sergio Pérez,BHR,5.0,9.0,,,10.0,0.43478260869565216,2.085144140570747,10.0,9,2017
 Sergio Pérez,RUS,9.0,5.0,9.0,,10.0,0.43478260869565216,2.085144140570747,0.0,11,2017
 Sergio Pérez,ESP,11.0,9.0,5.0,9.0,10.0,0.43478260869565216,2.085144140570747,0.0,15,2017
 Sergio Pérez,MON,15.0,11.0,9.0,5.0,10.0,0.43478260869565216,2.085144140570747,0.0,0,2017
 Sergio Pérez,CAN,0.0,15.0,11.0,9.0,10.0,0.43478260869565216,2.085144140570747,0.0,13,2017
 Sergio Pérez,AZE,13.0,0.0,15.0,11.0,10.0,0.43478260869565216,2.085144140570747,0.0,0,2017
 Sergio Pérez,AUT,0.0,13.0,0.0,15.0,10.0,0.43478260869565216,2.085144140570747,0.0,9,2017
 Sergio Pérez,GBR,9.0,0.0,13.0,0.0,10.0,0.43478260869565216,2.085144140570747,0.0,2,2017
 Sergio Pérez,HUN,2.0,9.0,0.0,13.0,10.0,0.43478260869565216,2.085144140570747,0.0,7,2017
 Sergio Pérez,BEL,7.0,2.0,9.0,0.0,10.0,0.43478260869565216,2.085144140570747,0.0,0,2017
 Sergio Pérez,ITA,0.0,7.0,2.0,9.0,10.0,0.43478260869565216,2.085144140570747,0.0,2,2017
 Sergio Pérez,SIN,2.0,0.0,7.0,2.0,10.0,0.43478260869565216,2.085144140570747,0.0,13,2017
 Sergio Pérez,MAL,13.0,2.0,0.0,7.0,10.0,0.43478260869565216,2.085144140570747,,11,2017
 Sergio Pérez,JPN,11.0,13.0,2.0,0.0,10.0,0.43478260869565216,2.085144140570747,0.0,6,2017
 Sergio Pérez,USA,6.0,11.0,13.0,2.0,10.0,0.43478260869565216,2.085144140570747,0.0,4,2017
 Sergio Pérez,MEX,4.0,6.0,11.0,13.0,10.0,0.43478260869565216,2.085144140570747,,6,2017
 Sergio Pérez,BRA,6.0,4.0,6.0,11.0,10.0,0.43478260869565216,2.085144140570747,,5,2017
 Sergio Pérez,ABU,5.0,6.0,4.0,6.0,10.0,0.43478260869565216,2.085144140570747,0.0,9,2017
 Esteban Ocon,AUS,,,,,3.0,0.13043478260869565,0.6255432421712238,0.0,1,2017
 Esteban Ocon,CHN,1.0,,,,3.0,0.13043478260869565,0.6255432421712238,,1,2017
 Esteban Ocon,BHR,1.0,1.0,,,3.0,0.13043478260869565,0.6255432421712238,3.0,1,2017
 Esteban Ocon,RUS,1.0,1.0,1.0,,3.0,0.13043478260869565,0.6255432421712238,0.0,6,2017
 Esteban Ocon,ESP,6.0,1.0,1.0,1.0,3.0,0.13043478260869565,0.6255432421712238,0.0,10,2017
 Esteban Ocon,MON,10.0,6.0,1.0,1.0,3.0,0.13043478260869565,0.6255432421712238,0.0,3,2017
